"","toa","thr","diffnet_new$toa"
"60020022","Late Majority","High Thresh.",2011
"60020023","Non-Adopters","Non-Adopters",NA
"60020025","Non-Adopters","Non-Adopters",NA
"60020035","Late Majority","Low Thresh.",2011
"60020044","Laggards","High Thresh.",2017
"60020048","Non-Adopters","Non-Adopters",NA
"60020059","Late Majority","Very Low Thresh.",2015
"60020065","Late Majority","High Thresh.",2014
"60020075","Non-Adopters","Non-Adopters",NA
"60020086","Late Majority","High Thresh.",2015
"60020124","Laggards","High Thresh.",2016
"60020127","Non-Adopters","Non-Adopters",NA
"60020129","Early Majority","High Thresh.",2007
"60020135","Laggards","High Thresh.",2016
"60020180","Non-Adopters","Non-Adopters",NA
"60020195","Late Majority","High Thresh.",2011
"60020204","Late Majority","High Thresh.",2011
"60020210","Late Majority","High Thresh.",2011
"60020224","Non-Adopters","Non-Adopters",NA
"60020238","Non-Adopters","Non-Adopters",NA
"60020256","Non-Adopters","Non-Adopters",NA
"60020258","Early Majority","High Thresh.",2006
"60020261","Late Majority","High Thresh.",2011
"60020296","Laggards","High Thresh.",2016
"60020297","Non-Adopters","Non-Adopters",NA
"60020301","Laggards","Low Thresh.",2017
"60020304","Early Adopters","High Thresh.",2002
"60020306","Early Adopters","High Thresh.",2004
"60020315","Early Adopters","Very Low Thresh.",1998
"60020322","Late Majority","High Thresh.",2012
"60020329","Early Adopters","Low Thresh.",1996
"60020344","Early Adopters","Low Thresh.",2004
"60020345","Non-Adopters","Non-Adopters",NA
"60020351","Early Majority","Low Thresh.",2008
"60020359","Late Majority","High Thresh.",2015
"60020376","Laggards","High Thresh.",2016
"60020402","Laggards","High Thresh.",2017
"60020413","Non-Adopters","Non-Adopters",NA
"60020416","Late Majority","Very Low Thresh.",2011
"60020418","Early Adopters","Low Thresh.",2002
"60020420","Early Adopters","Very Low Thresh.",2001
"60020432","Non-Adopters","Non-Adopters",NA
"60020441","Laggards","High Thresh.",2017
"60020454","Early Majority","High Thresh.",2008
"60020457","Late Majority","High Thresh.",2015
"60020462","Late Majority","High Thresh.",2015
"60020464","Non-Adopters","Non-Adopters",NA
"60020468","Early Majority","Very Low Thresh.",2009
"60020469","Early Majority","High Thresh.",2009
"60020475","Laggards","Low Thresh.",2016
"60020484","Early Majority","Low Thresh.",2010
"60020486","Early Adopters","Low Thresh.",2003
"60020492","Early Majority","Very Low Thresh.",2005
"60020518","Late Majority","High Thresh.",2012
"60020547","Early Adopters","Very Low Thresh.",1997
"60020559","Non-Adopters","Non-Adopters",NA
"60020563","Late Majority","Low Thresh.",2012
"60020565","Early Majority","Low Thresh.",2010
"60020567","Early Adopters","High Thresh.",2003
"60020569","Non-Adopters","Non-Adopters",NA
"60020585","Early Majority","Very Low Thresh.",2009
"60020590","Late Majority","Very Low Thresh.",2011
"60020591","Non-Adopters","Non-Adopters",NA
"60020595","Early Majority","High Thresh.",2010
"60020599","Late Majority","High Thresh.",2013
"60020609","Non-Adopters","Non-Adopters",NA
"60020623","Early Majority","High Thresh.",2008
"60020626","Late Majority","High Thresh.",2011
"60020631","Non-Adopters","Non-Adopters",NA
"60020633","Early Adopters","High Thresh.",2003
"60020638","Late Majority","High Thresh.",2015
"60020649","Early Adopters","Very Low Thresh.",2002
"60020650","Early Adopters","High Thresh.",2004
"60020657","Early Majority","High Thresh.",2008
"60020661","Early Adopters","High Thresh.",2004
"60020675","Late Majority","High Thresh.",2012
"60020703","Non-Adopters","Non-Adopters",NA
"60020725","Non-Adopters","Non-Adopters",NA
"60020730","Non-Adopters","Non-Adopters",NA
"60020732","Non-Adopters","Non-Adopters",NA
"60020741","Non-Adopters","Non-Adopters",NA
"60020745","Laggards","High Thresh.",2017
"60020766","Late Majority","High Thresh.",2014
"60020771","Early Majority","High Thresh.",2006
"60020773","Non-Adopters","Non-Adopters",NA
"60020776","Late Majority","Low Thresh.",2015
"60020791","Early Majority","Low Thresh.",2005
"60020796","Non-Adopters","Non-Adopters",NA
"60020804","Late Majority","High Thresh.",2014
"60020821","Early Majority","High Thresh.",2007
"60020825","Late Majority","Very Low Thresh.",2013
"60020828","Laggards","High Thresh.",2016
"60020829","Early Adopters","High Thresh.",2002
"60020857","Laggards","High Thresh.",2016
"60020870","Late Majority","Very Low Thresh.",2013
"60020873","Early Majority","High Thresh.",2008
"60020908","Late Majority","High Thresh.",2013
"60020918","Late Majority","Low Thresh.",2013
"60020919","Non-Adopters","Non-Adopters",NA
"60020936","Non-Adopters","Non-Adopters",NA
"60020943","Non-Adopters","Non-Adopters",NA
"60020948","Early Adopters","High Thresh.",2004
"60020949","Late Majority","High Thresh.",2015
"60020952","Late Majority","Low Thresh.",2011
"60020970","Non-Adopters","Non-Adopters",NA
"60020975","Non-Adopters","Non-Adopters",NA
"60020984","Laggards","Very Low Thresh.",2016
"60020985","Laggards","Low Thresh.",2016
"60020999","Early Majority","Very Low Thresh.",2009
"60021001","Non-Adopters","Non-Adopters",NA
"60021005","Non-Adopters","Non-Adopters",NA
"60021007","Non-Adopters","Non-Adopters",NA
"60021013","Early Majority","High Thresh.",2006
"60021016","Late Majority","High Thresh.",2014
"60021023","Late Majority","Low Thresh.",2012
"60021048","Non-Adopters","Non-Adopters",NA
"60021062","Early Majority","Very Low Thresh.",2007
"60021069","Non-Adopters","Non-Adopters",NA
"60021070","Non-Adopters","Non-Adopters",NA
"60021088","Non-Adopters","Non-Adopters",NA
"60021097","Early Majority","Very Low Thresh.",2008
"60021110","Early Majority","High Thresh.",2008
"60021116","Early Adopters","High Thresh.",2003
"60021119","Late Majority","High Thresh.",2012
"60021120","Early Adopters","High Thresh.",2000
"60021121","Early Adopters","High Thresh.",2003
"60021136","Early Majority","High Thresh.",2009
"60021137","Late Majority","High Thresh.",2014
"60021143","Early Adopters","Low Thresh.",2002
"60021160","Early Majority","Very Low Thresh.",2005
"60021176","Late Majority","High Thresh.",2015
"60021178","Non-Adopters","Non-Adopters",NA
"60021182","Early Majority","Very Low Thresh.",2005
"60021187","Non-Adopters","Non-Adopters",NA
"60021191","Early Majority","High Thresh.",2007
"60021193","Non-Adopters","Non-Adopters",NA
"60021198","Non-Adopters","Non-Adopters",NA
"60021199","Early Majority","Very Low Thresh.",2005
"60021200","Early Majority","Low Thresh.",2008
"60021211","Late Majority","Low Thresh.",2013
"60021212","Early Majority","High Thresh.",2010
"60021235","Late Majority","Very Low Thresh.",2013
"60021238","Early Majority","Low Thresh.",2007
"60021252","Non-Adopters","Non-Adopters",NA
"60021255","Early Adopters","Very Low Thresh.",1997
"60021260","Non-Adopters","Non-Adopters",NA
"60021271","Non-Adopters","Non-Adopters",NA
"60021283","Early Majority","High Thresh.",2006
"60021285","Early Adopters","High Thresh.",2004
"60021296","Late Majority","High Thresh.",2012
"60021301","Non-Adopters","Non-Adopters",NA
"60021311","Late Majority","High Thresh.",2012
"60021326","Early Majority","High Thresh.",2010
"60021327","Early Majority","Very Low Thresh.",2010
"60021328","Non-Adopters","Non-Adopters",NA
"60021331","Laggards","Low Thresh.",2017
"60021334","Late Majority","Low Thresh.",2013
"60021353","Early Adopters","Low Thresh.",2004
"60021361","Late Majority","High Thresh.",2012
"60021364","Late Majority","High Thresh.",2012
"60021374","Non-Adopters","Non-Adopters",NA
"60021393","Non-Adopters","Non-Adopters",NA
"60021399","Non-Adopters","Non-Adopters",NA
"60021421","Late Majority","High Thresh.",2014
"60021432","Late Majority","Low Thresh.",2015
"60021435","Early Majority","High Thresh.",2008
"60021439","Early Adopters","Very Low Thresh.",1998
"60021449","Laggards","High Thresh.",2017
"60021456","Laggards","High Thresh.",2016
"60021464","Non-Adopters","Non-Adopters",NA
"60021474","Early Adopters","High Thresh.",2004
"60021475","Early Majority","Low Thresh.",2010
"60021478","Early Majority","Low Thresh.",2008
"60021479","Non-Adopters","Non-Adopters",NA
"60021488","Early Adopters","High Thresh.",2000
"60021494","Late Majority","High Thresh.",2013
"60021497","Early Adopters","High Thresh.",2003
"60021508","Early Adopters","High Thresh.",2000
"60021519","Early Adopters","High Thresh.",1997
"60021523","Early Adopters","High Thresh.",2001
"60021545","Non-Adopters","Non-Adopters",NA
"60021547","Late Majority","Low Thresh.",2012
"60021564","Late Majority","High Thresh.",2014
"60021566","Early Adopters","High Thresh.",2001
"60021567","Late Majority","High Thresh.",2012
"60021568","Early Adopters","Low Thresh.",1998
"60021578","Late Majority","High Thresh.",2014
"60021588","Non-Adopters","Non-Adopters",NA
"60021600","Late Majority","High Thresh.",2011
"60021605","Late Majority","High Thresh.",2015
"60021609","Late Majority","Low Thresh.",2012
"60021615","Late Majority","Very Low Thresh.",2014
"60021624","Early Adopters","High Thresh.",2004
"60021631","Non-Adopters","Non-Adopters",NA
"60021658","Non-Adopters","Non-Adopters",NA
"60021660","Non-Adopters","Non-Adopters",NA
"60021666","Non-Adopters","Non-Adopters",NA
"60021686","Non-Adopters","Non-Adopters",NA
"60021696","Early Adopters","High Thresh.",2001
"60021722","Late Majority","High Thresh.",2015
"60021738","Non-Adopters","Non-Adopters",NA
"60021763","Late Majority","High Thresh.",2014
"60021765","Non-Adopters","Non-Adopters",NA
"60021768","Non-Adopters","Non-Adopters",NA
"60021781","Laggards","High Thresh.",2017
"60021782","Non-Adopters","Non-Adopters",NA
"60021783","Early Majority","High Thresh.",2006
"60021784","Early Adopters","High Thresh.",2001
"60021786","Late Majority","Low Thresh.",2011
"60021814","Laggards","High Thresh.",2016
"60021836","Early Adopters","High Thresh.",2001
"60021843","Laggards","Very Low Thresh.",2017
"60021859","Late Majority","Low Thresh.",2013
"60021876","Early Majority","Low Thresh.",2008
"60021880","Early Majority","Low Thresh.",2008
"60021889","Early Adopters","High Thresh.",2004
"60021891","Late Majority","Low Thresh.",2014
"60021893","Late Majority","High Thresh.",2012
"60021895","Early Majority","Very Low Thresh.",2010
"60021902","Late Majority","High Thresh.",2013
"60021916","Non-Adopters","Non-Adopters",NA
"60021918","Early Adopters","Very Low Thresh.",1997
"60021927","Early Adopters","Very Low Thresh.",1998
"60021931","Non-Adopters","Non-Adopters",NA
"60021944","Early Majority","Very Low Thresh.",2008
"60021947","Early Adopters","High Thresh.",2002
"60021951","Non-Adopters","Non-Adopters",NA
"60021965","Non-Adopters","Non-Adopters",NA
"60021971","Late Majority","Very Low Thresh.",2013
"60021976","Non-Adopters","Non-Adopters",NA
"60021981","Early Adopters","High Thresh.",2003
"60021999","Early Majority","High Thresh.",2008
"60022002","Non-Adopters","Non-Adopters",NA
"60022015","Early Adopters","High Thresh.",2004
"60022020","Early Majority","High Thresh.",2005
"60022023","Non-Adopters","Non-Adopters",NA
"60022024","Non-Adopters","Non-Adopters",NA
"60022028","Early Majority","Very Low Thresh.",2009
"60022036","Late Majority","High Thresh.",2011
"60022046","Late Majority","High Thresh.",2015
"60022050","Late Majority","Low Thresh.",2015
"60022054","Non-Adopters","Non-Adopters",NA
"60022056","Laggards","High Thresh.",2017
"60022064","Non-Adopters","Non-Adopters",NA
"60022068","Early Adopters","Very Low Thresh.",1997
"60022071","Non-Adopters","Non-Adopters",NA
"60022076","Early Majority","High Thresh.",2006
"60022091","Non-Adopters","Non-Adopters",NA
"60022095","Early Adopters","Low Thresh.",2003
"60022106","Early Adopters","Low Thresh.",2004
"60022109","Early Majority","High Thresh.",2005
"60022113","Early Majority","Very Low Thresh.",2008
"60022116","Non-Adopters","Non-Adopters",NA
"60022119","Late Majority","High Thresh.",2012
"60022122","Non-Adopters","Non-Adopters",NA
"60022132","Early Majority","Very Low Thresh.",2006
"60022134","Late Majority","High Thresh.",2015
"60022135","Late Majority","High Thresh.",2011
"60022143","Non-Adopters","Non-Adopters",NA
"60022144","Late Majority","High Thresh.",2011
"60022146","Late Majority","High Thresh.",2013
"60022148","Early Adopters","High Thresh.",1997
"60022149","Late Majority","Low Thresh.",2013
"60022154","Non-Adopters","Non-Adopters",NA
"60022169","Non-Adopters","Non-Adopters",NA
"60022170","Non-Adopters","Non-Adopters",NA
"60022174","Late Majority","High Thresh.",2013
"60022175","Late Majority","High Thresh.",2011
"60022180","Late Majority","High Thresh.",2015
"60022195","Early Adopters","Low Thresh.",1997
"60022210","Non-Adopters","Non-Adopters",NA
"60022229","Late Majority","High Thresh.",2011
"60022237","Early Majority","High Thresh.",2010
"60022249","Late Majority","High Thresh.",2012
"60022265","Early Adopters","High Thresh.",1998
"60022279","Late Majority","Low Thresh.",2014
"60022281","Late Majority","High Thresh.",2015
"60022286","Late Majority","High Thresh.",2011
"60022313","Early Majority","High Thresh.",2007
"60022317","Early Majority","High Thresh.",2009
"60022344","Non-Adopters","Non-Adopters",NA
"60022345","Late Majority","Very Low Thresh.",2013
"60022355","Early Majority","Very Low Thresh.",2010
"60022357","Early Majority","Low Thresh.",2010
"60022360","Non-Adopters","Non-Adopters",NA
"60022368","Early Majority","High Thresh.",2006
"60022376","Late Majority","High Thresh.",2011
"60022381","Laggards","High Thresh.",2017
"60022386","Late Majority","Very Low Thresh.",2012
"60022388","Non-Adopters","Non-Adopters",NA
"60022400","Non-Adopters","Non-Adopters",NA
"60022403","Early Majority","Very Low Thresh.",2005
"60022410","Early Adopters","Very Low Thresh.",1997
"60022414","Late Majority","High Thresh.",2013
"60022415","Late Majority","High Thresh.",2012
"60022417","Early Adopters","High Thresh.",2002
"60022422","Early Adopters","Very Low Thresh.",2004
"60022428","Early Majority","High Thresh.",2007
"60022434","Non-Adopters","Non-Adopters",NA
"60022436","Non-Adopters","Non-Adopters",NA
"60022457","Late Majority","High Thresh.",2013
"60022462","Non-Adopters","Non-Adopters",NA
"60022464","Non-Adopters","Non-Adopters",NA
"60022471","Late Majority","High Thresh.",2014
"60022478","Early Majority","High Thresh.",2009
"60022512","Non-Adopters","Non-Adopters",NA
"60022559","Late Majority","High Thresh.",2011
"60022577","Early Majority","High Thresh.",2006
"60022590","Early Majority","High Thresh.",2007
"60022598","Late Majority","High Thresh.",2014
"60022600","Early Adopters","High Thresh.",2002
"60022615","Non-Adopters","Non-Adopters",NA
"60022637","Early Majority","High Thresh.",2008
"60022653","Early Adopters","High Thresh.",1997
"60022659","Early Adopters","Low Thresh.",2004
"60022672","Early Majority","Low Thresh.",2006
"60022683","Non-Adopters","Non-Adopters",NA
"60022693","Late Majority","Low Thresh.",2011
"60022695","Non-Adopters","Non-Adopters",NA
"60022729","Laggards","High Thresh.",2016
"60022755","Early Majority","High Thresh.",2009
"60022756","Early Adopters","Very Low Thresh.",1997
"60022758","Early Adopters","Very Low Thresh.",2002
"60022778","Early Majority","High Thresh.",2007
"60022783","Non-Adopters","Non-Adopters",NA
"60022785","Late Majority","High Thresh.",2015
"60022786","Non-Adopters","Non-Adopters",NA
"60022799","Non-Adopters","Non-Adopters",NA
"60022800","Late Majority","Low Thresh.",2011
"60022826","Early Majority","Very Low Thresh.",2006
"60022844","Late Majority","Very Low Thresh.",2015
"60022847","Laggards","High Thresh.",2016
